Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
libras.csv,AdaBoostClassifier,8,"{'n_estimators': 92, 'learning_rate': 0.2297300132339321}",0.583333333,0.6,0.029827689,0.544444444,0.918478907,0.588012881,0.465717554,0.431040923
libras.csv,MCB,9,"{'k': 4, 'DSEL_perc': 0.5}",0.694444444,0.7,0.021687463,0.666666667,0.86892454,0.769444444,0.077656031,2.959390481
libras.csv,KNORAU,9,"{'k': 4, 'DSEL_perc': 0.1}",0.833333333,0.855555556,0.012121212,0.855555556,0.987205387,0.924995591,0.133244514,3.049194813
libras.csv,METADES,9,"{'k': 4, 'DSEL_perc': 0.5}",0.722222222,0.722222222,0.019726679,0.684444444,0.884561299,0.778981481,0.29399538,5.872613854
libras.csv,AdaBoostClassifier,9,"{'n_estimators': 84, 'learning_rate': 0.2685386959751465}",0.25,0.255555556,0.053297683,0.271380471,0.931521093,0.574743621,0.429804802,0.430411763
libras.csv,MCB,10,"{'k': 6, 'DSEL_perc': 0.4}",0.666666667,0.688888889,0.023707665,0.626666667,0.814913844,0.673148148,0.08703208,2.966172165
libras.csv,KNORAU,10,"{'k': 8, 'DSEL_perc': 0.1}",0.861111111,0.877777778,0.010041592,0.883333333,0.990572391,0.931296296,0.131296635,3.04730071
libras.csv,METADES,10,"{'k': 4, 'DSEL_perc': 0.30000000000000004}",0.861111111,0.866666667,0.009803922,0.911111111,1,1,0.312234402,5.889137586
libras.csv,AdaBoostClassifier,10,"{'n_estimators': 89, 'learning_rate': 0.3064551439605751}",0.388888889,0.422222222,0.044147356,0.366081871,0.897395524,0.565972068,0.454368353,0.399198797
molec-biol-promoter.csv,MCB,1,"{'k': 5, 'DSEL_perc': 0.7000000000000001}",0.818181818,0.833333333,0.166666667,0.857142857,0.75,0.8125,0.017510176,9.530327537
molec-biol-promoter.csv,KNORAU,1,"{'k': 5, 'DSEL_perc': 0.4}",0.818181818,0.816666667,0.183333333,0.816666667,0.866666667,0.905555556,0.018661976,9.510343725
molec-biol-promoter.csv,METADES,1,"{'k': 3, 'DSEL_perc': 0.2}",0.727272727,0.716666667,0.283333333,0.732142857,0.866666667,0.834761905,0.22555232,18.9305002
molec-biol-promoter.csv,AdaBoostClassifier,1,"{'n_estimators': 27, 'learning_rate': 0.15000344914235814}",0.909090909,0.916666667,0.083333333,0.916666667,1,1,0.040312529,0.48773939
molec-biol-promoter.csv,MCB,2,"{'k': 8, 'DSEL_perc': 0.6}",0.727272727,0.716666667,0.283333333,0.732142857,0.816666667,0.845454545,0.017868042,9.525905956
molec-biol-promoter.csv,KNORAU,2,"{'k': 7, 'DSEL_perc': 0.4}",0.909090909,0.916666667,0.083333333,0.916666667,0.966666667,0.963333333,0.018967628,9.420156479
molec-biol-promoter.csv,METADES,2,"{'k': 2, 'DSEL_perc': 0.2}",0.818181818,0.833333333,0.166666667,0.857142857,0.983333333,0.983333333,0.228363037,18.90260523
molec-biol-promoter.csv,AdaBoostClassifier,2,"{'n_estimators': 45, 'learning_rate': 0.14644419027974276}",1,1,0,1,1,1,0.067527294,0.582781705
molec-biol-promoter.csv,MCB,3,"{'k': 3, 'DSEL_perc': 0.30000000000000004}",0.454545455,0.433333333,0.566666667,0.416666667,0.433333333,0.448484848,0.019366026,9.584751996
